Country Code,Date,GDP,GDP Per Capita
CZE,2019,454269384965.603,40314.2284971055
CZE,2018,429335963329.522,39452.7678936873
CZE,2017,407774582307.656,38489.4963100125
CZE,2016,379085413179.319,36982.1887086232
CZE,2015,355311747821.274,36166.9931624967
CZE,2014,339582593690.886,34411.1911214653
CZE,2013,320535090730.576,33536.8724334961
CZE,2012,305309362168.598,33711.0490231477
CZE,2011,302260233093.211,34030.442998817
CZE,2010,290016958369.654,33505.2062512963
CZE,2009,288463589224.797,32856.0147077338
CZE,2008,289157145081.601,34710.7480526214
CZE,2007,269036163173.588,34085.5692629519
CZE,2006,243404083714.201,32466.0948093444
CZE,2005,224201378156.886,30466.1278437654
CZE,2004,212092065914.918,28637.2910939499
CZE,2003,198032542823.473,27306.2114599089
CZE,2002,185474094813.637,26349.0440974244
CZE,2001,179349020434.32,25870.7527071375
CZE,2000,166076931522.484,25045.2268041711
CZE,1999,157590965153.011,23953.078906282
CZE,1998,153451617416.505,23590.6016695585
CZE,1997,151750908250.946,23645.9894336651
CZE,1996,150354643707.911,23761.8234324542
CZE,1995,141985181138.511,22772.542938515
CZE,1994,130923833258.635,21425.6102450964
CZE,1993,124562650661.475,20827.4169396638
CZE,1992,121604436209.207,20836.1791994156
CZE,1991,119500244930.858,20963.6831792428
CZE,1990,130781432077.472,23661.7112261658
FIN,2019,283323675921.652,48621.0885362883
FIN,2018,272319030456.189,48191.2325303143
FIN,2017,261536686678.341,47481.2138160103
FIN,2016,246903462491.942,46161.5829349195
FIN,2015,232930102787.426,45072.7478356206
FIN,2014,228058553146.46,44976.9784459358
FIN,2013,225680035610.262,45328.7935138515
FIN,2012,221285752810.968,45952.6169753228
FIN,2011,220471055643.893,46826.111689491
FIN,2010,209077048564.577,45875.0024955322
FIN,2009,202924165959.537,44662.4526942425
FIN,2008,212980676990.544,48818.4641473246
FIN,2007,199908526290.143,48664.7283627322
FIN,2006,181231093044.756,46412.7875388451
FIN,2005,168146788316.398,44787.45859653
FIN,2004,162980164132.004,43725.5996634904
FIN,2003,151280484339.999,42169.2045120984
FIN,2002,148763741906.139,41439.5550149382
FIN,2001,144265892609.55,40842.8887572068
FIN,2000,138695242916.42,39894.8343691637
FIN,1999,127934744369.414,37795.6628266714
FIN,1998,121501415973.472,36293.9454076268
FIN,1997,111982366923.226,34507.3579393124
FIN,1996,102757500231.52,32548.4334648292
FIN,1995,99862187769.1645,31500.1714394621
FIN,1994,93853000278.2009,30340.974007598
FIN,1993,88412174777.7523,29310.2447985007
FIN,1992,86965084516.6207,29648.4920841032
FIN,1991,87948311302.1459,30831.2425154333
FIN,1990,90417220017.6542,32938.9940061828
HUN,2019,331972658347.038,32622.8508908698
HUN,2018,308700187469.18,31072.9044219454
HUN,2017,289031874731.567,29529.3092284512
HUN,2016,271844815110.907,28230.5536832764
HUN,2015,262494273040.165,27541.4534992241
HUN,2014,252630796804.085,26458.5440412536
HUN,2013,242362495294.426,25324.9631779843
HUN,2012,229637808205.604,24769.1084232477
HUN,2011,228296184503.14,25009.6098194132
HUN,2010,215860857902.379,24493.2902561854
HUN,2009,207405963640.368,24276.7262254787
HUN,2008,207757652349.402,25979.670814072
HUN,2007,191506485550.722,25662.6353647423
HUN,2006,184705079194.291,25561.0077498318
HUN,2005,172222023006.273,24532.3343548483
HUN,2004,164028811074.495,23486.8971945374
HUN,2003,156647558815.992,22356.7143792143
HUN,2002,147567884018.729,21417.9471435399
HUN,2001,134614287671.853,20390.285687826
HUN,2000,121077810763.972,19547.1971641282
HUN,1999,111315201192.571,18660.6404432328
HUN,1998,106750826042.741,18053.4311638144
HUN,1997,101068327697.249,17335.3926461896
HUN,1996,96261028727.6453,16773.298510271
HUN,1995,94771850536.6353,16730.7226603125
HUN,1994,91463090523.1214,16462.2371380002
HUN,1993,86987194811.3277,15969.0849185251
HUN,1992,85466300228.7137,16043.3117422527
HUN,1991,86203429268.219,16543.9712830944
HUN,1990,,
LUX,2019,75188883903.8919,114481.533570261
LUX,2018,71000340500.3936,114109.972454391
LUX,2017,67280181468.9465,112822.605827833
LUX,2016,64399672527.5245,113553.598994566
LUX,2015,59096856502.3694,110951.988769966
LUX,2014,56353766041.0479,108911.348894252
LUX,2013,51940075107.1763,106914.950314366
LUX,2012,48646428610.814,105557.265692399
LUX,2011,47690524461.9649,108505.454959801
LUX,2010,43434533307.3879,108196.793840499
LUX,2009,40987695882.111,105077.951508216
LUX,2008,42362971851.4074,111920.041404729
LUX,2007,40307717243.2934,115415.434682835
LUX,2006,36836477089.73,108174.25489377
LUX,2005,31733108754.2518,104501.908134185
LUX,2004,29341820786.6632,102850.273308526
LUX,2003,27115969640.8047,100685.613620848
LUX,2002,26222378149.9609,100282.717246864
LUX,2001,24679209789.4911,97610.6534409562
LUX,2000,24154411064.4221,96340.2974329719
LUX,1999,21794057203.7217,90210.7478978603
LUX,1998,18855147270.7779,84288.8767665376
LUX,1997,17967628355.5316,80479.1830702037
LUX,1996,17116837815.7775,77092.5730715684
LUX,1995,16191526679.6391,77078.9025549102
LUX,1994,14982332386.0584,77065.5701262041
LUX,1993,14129218630.0844,75247.1255377233
LUX,1992,13245798385.3949,73189.6056720833
LUX,1991,12719226237.75,72842.8175059231
LUX,1990,11324271457.4158,67951.398142145
CYP,2019,36376855078.9005,39544.6818471754
CYP,2018,34574175050.8282,38822.4919713012
CYP,2017,32461369545.2405,37766.901656904
CYP,2016,30135749614.2885,36526.8190572448
CYP,2015,26889780680.0175,34375.5637176701
CYP,2014,25611630279.2852,33064.5801699164
CYP,2013,26181488763.0206,33323.7065366915
CYP,2012,27503409470.4567,35577.770908208
CYP,2011,28345891540.0357,37413.59020453
CYP,2010,27741573353.8928,38226.9931607121
CYP,2009,27406516369.4977,38464.9612046221
CYP,2008,27398523232.8023,40324.1692781575
CYP,2007,25198118570.7654,39894.6789669111
CYP,2006,22513299138.0451,38776.3321181233
CYP,2005,20504289938.429,37653.765432119
CYP,2004,18870225579.1067,36431.9289389505
CYP,2003,17421216997.804,35155.5109035799
CYP,2002,16716214674.5424,34675.7340585353
CYP,2001,16045425527.8132,33816.4340812793
CYP,2000,14780314145.9609,32883.1749117926
CYP,1999,13501977741.0779,31363.860495984
CYP,1998,12737741776.4337,30207.0547909235
CYP,1997,11922588859.8087,28818.6357239701
CYP,1996,11433396890.561,28477.9608167873
CYP,1995,11106857972.1964,28578.6779981033
CYP,1994,10039217687.9001,26855.7258722133
CYP,1993,9281703970.95702,25889.4784933035
CYP,1992,9003857031.88045,26337.9151020846
CYP,1991,8046836703.44861,24723.9747997274
CYP,1990,7726476512.11102,25186.0745387085
LTU,2019,106497033297.345,36974.9463411754
LTU,2018,100384504446.564,35389.9774872093
LTU,2017,95659970670.1725,33821.1954485172
LTU,2016,88699845604.0485,31992.6451834056
LTU,2015,83730597415.0676,30801.4226065896
LTU,2014,82564270189.9137,29905.0027919257
LTU,2013,78911079132.147,28644.145309623
LTU,2012,73635737734.6153,27381.3805315612
LTU,2011,69113557960.608,26019.1980141278
LTU,2010,62112596122.8684,23992.4515963291
LTU,2009,57437546514.3803,23151.4238149608
LTU,2008,66344339088.5645,26877.4548412663
LTU,2007,61698982117.4761,25921.2117447776
LTU,2006,53893968504.078,23058.6059472163
LTU,2005,48263291601.7483,21128.5515595877
LTU,2004,44008465206.2913,19296.1852213958
LTU,2003,41214452084.7705,17907.7316366874
LTU,2002,36132747527.5176,16069.3783550623
LTU,2001,32805212033.5297,14931.4194274433
LTU,2000,29604692441.2476,13901.8708276818
LTU,1999,27565323899.1938,13295.0096487321
LTU,1998,27553343461.5084,13352.5202172779
LTU,1997,25270202754.9848,12335.0587679254
LTU,1996,22964402175.8402,11306.692042994
LTU,1995,21492726074.9094,10671.4719446213
LTU,1994,,
LTU,1993,,
LTU,1992,,
LTU,1991,,
LTU,1990,,
SVN,2019,84888696324.1167,38688.7833893018
SVN,2018,80361841190.1078,38022.049816862
SVN,2017,75734777836.5049,36650.8021903461
SVN,2016,69939494147.2441,34983.790720201
SVN,2015,65283414434.9714,33949.6025823699
SVN,2014,63653371400.3498,33240.4970057813
SVN,2013,61744411397.5613,32376.9603317336
SVN,2012,59745699109.9106,32758.1081044729
SVN,2011,59391588537.9105,33716.9177787681
SVN,2010,57043842484.3091,33498.4993370281
SVN,2009,56221915503.3542,33198.7901596813
SVN,2008,59839627541.6582,36235.4358207379
SVN,2007,55582074447.6016,35062.1580984714
SVN,2006,51555225746.2075,32958.2390512228
SVN,2005,47716592721.283,31266.8634903915
SVN,2004,45412642735.3912,30175.0287252389
SVN,2003,42088620439.2036,28933.1165138888
SVN,2002,40372329697.6097,28118.1957410519
SVN,2001,37762067050.5781,27199.552768972
SVN,2000,35816494136.3765,26393.4636071071
SVN,1999,33876855926.9704,25534.0203939923
SVN,1998,31816542489.3629,24258.6339415737
SVN,1997,30340741122.4503,23437.1875668494
SVN,1996,28403008819.7608,22280.5732893267
SVN,1995,27067548088.6292,21575.5780451498
SVN,1994,25465754653.7216,20728.8628840902
SVN,1993,23672170413.754,19657.6365129132
SVN,1992,22484939131.1387,19068.6467239478
SVN,1991,23254374704.6179,20141.1452104662
SVN,1990,24691137748.649,22122.8871061392
MLT,2019,22946901130.2532,43340.1997204138
MLT,2018,21108159040.5964,43064.0188476449
MLT,2017,19447669385.8849,41554.937907741
MLT,2016,17622099383.3294,40112.9294626374
MLT,2015,16059011070.5794,38780.607115881
MLT,2014,14508619508.7562,35827.2067482218
MLT,2013,13238389611.4923,33596.438069223
MLT,2012,12358651693.0737,32498.9010753582
MLT,2011,11905972930.3157,31901.0819737905
MLT,2010,11535684778.4552,31606.9847927568
MLT,2009,10790163477.5645,30675.8660140019
MLT,2008,10722882905.3865,31688.2604368518
MLT,2007,10123965915.0134,30862.303152007
MLT,2006,9411218181.91931,29782.846991992
MLT,2005,8990872386.14044,29354.7397368716
MLT,2004,8561583901.93594,28465.4227240383
MLT,2003,8283172357.10914,28530.7391857702
MLT,2002,7754899902.19779,28006.5907216345
MLT,2001,7239316994.94431,27398.9025085184
MLT,2000,7134582843.37632,27438.5488172475
MLT,1999,6574187167.30746,25865.0586175854
MLT,1998,6113967634.28041,24846.1269120058
MLT,1997,5790343229.7524,23788.8169220987
MLT,1996,5192575931.38379,22772.3917902057
MLT,1995,4873416082.26319,22088.0501601358
MLT,1994,4488636025.62401,20915.9789183345
MLT,1993,4159720442.45321,19983.242213453
MLT,1992,3889181540.55361,19318.2246460661
MLT,1991,3632144046.03744,18643.9745307008
MLT,1990,3306463145.36309,18025.5143736943
EST,2019,51486474644.4343,36710.4108863026
EST,2018,48064476467.9168,35308.0862153163
EST,2017,44555137202.5778,33820.9187318032
EST,2016,41094057419.7484,32021.0631794111
EST,2015,38669190378.0171,31209.0979746975
EST,2014,38300194537.7593,30663.8502068091
EST,2013,36432844586.0068,29696.409224341
EST,2012,34642139626.1105,29197.8520485886
EST,2011,32890577599.6873,28211.9476676167
EST,2010,29038702699.534,26177.7744401464
EST,2009,27509108593.9042,25433.8860054492
EST,2008,30525885461.1003,29667.0006464343
EST,2007,29721058984.5131,31173.9860429544
EST,2006,26006907483.4107,28847.3225160975
EST,2005,22523015210.7572,26137.4841657167
